=== Recipes with Range Patterns - Manual Review List ===
Generated: 2026-02-08 18:19:11 +0700
Total: 159 ingredients

Recipe                                   | Old Description                | Amount     | Unit       | Formatted Display
Martiniquat                              | 2-3BL weißer Rohrzucker        | NOT PARSED | NOT PARSED | 2-3BL weißer Rohrzucker
Mathi                                    | 1 cl Praline-Nuss Sirup        | 1.0        | cl         | 1 cl
Mintini (Cornwall Style)                 | 10cl Lime-Juice                | 10.0       | cl         | 10 cl
Minty Black Currant                      | 3-4 Blätter frische Minze      | 3.5        | Blatt      | 3,5 Blätter
Mixed Berry Refresher                    | 0,5-1cl Ahornsirup             | 0.75       | cl         | 0,75 cl
Mojito (alkoholfrei)                     | 1-2 TL Rohrzucker              | 1.5        | TL         | 1,5 TL
Moscow Mule (Home Made)                  | 2-4 dünne Scheiben grüne ...   | 3.0        |            | 3
Mr. Nice                                 | 4-5cl Aperol                   | 4.5        | cl         | 4,5 cl
Mr. Nice                                 | 0.5-1cl Grenadinesirup         | 0.75       | cl         | 0,75 cl
Negron                                   | 2-3Bl Honig                    | NOT PARSED | NOT PARSED | 2-3Bl Honig
Negron                                   | 15-20 Blätter Basilikum        | 17.5       | Blatt      | 17,5 Blätter
Negron                                   | 2-3cl Soda                     | 2.5        | cl         | 2,5 cl
Nicole                                   | 2-4 cl Zitronensaft            | 3.0        | cl         | 3 cl
Oiled Flaming Mary                       | 6 Tropfen Chili-Öl             | 6.0        |            | 6
One Jule                                 | 2-3 TL Rohrzucker              | 2.5        | TL         | 2,5 TL
Parisienne                               | 0,5-1,5 cl Creme de Cassis     | 1.0        | cl         | 1 cl
Passo CitroCoco                          | 0.5-1cl Zitronensaft           | 0.75       | cl         | 0,75 cl
Piano di Sorrento                        | 2-4 cl Erdbeerlimes            | 3.0        | cl         | 3 cl
Raffles Winter Sling                     | 2 dashes Orange-Bitter´s       | 2.0        |            | 2
Red City                                 | 2-3cl Zitronensaft             | 2.5        | cl         | 2,5 cl
Red Mojito                               | 2-3 Minzzweige                 | 2.5        |            | 2 1/2
Red Mojito                               | 1-2TL Rohrzucker               | 1.5        | TL         | 1,5 TL
Rob Roy                                  | 1 - 2 dashes Aromatic Bit...   | 1.5        |            | 1 1/2
Rocky Mountain Bear                      | 6 Tropfen Tabasco-Sauce Rot    | 6.0        |            | 6
Roses Rhubarb Garden                     | 6-7 Himbeeren                  | 6.5        |            | 6 1/2
Rossini                                  | 1/2 - 1 Eiklar                 | 0.5        |            | 1/2
Rote Legende                             | 1cl Irish-Sirup                | 1.0        | cl         | 1 cl
Royal Jamaican Mojito                    | 5cl Rum (weiss-overproof)      | 5.0        | cl         | 5 cl
Sachsencaipi                             | 2-3 BL Rohrzucker              | 2.5        |            | 2 1/2
Salvia Laimun                            | 5-6 frische Salbeiblätter      | 5.5        |            | 5 1/2
Saveur Florale                           | 1.5cl Rosen-Sirup              | 1.5        | cl         | 1,5 cl
Schwarzwälder Kirsch                     | 10cl (Sauer-)Kirschnektar      | 10.0       | cl         | 10 cl
Simplório                                | 3cl Kokos-Sirup                | 3.0        | cl         | 3 cl
St. Limquat Mojito                       | 2-3 Teelöffel Rohrzucker       | 2.5        | TL         | 2,5 TL
Straits Sling                            | 2-3cl Soda                     | 2.5        | cl         | 2,5 cl
Strawberry Chi Chi                       | 4cl Erdbeer-Limes (Xuxu)       | 4.0        | cl         | 4 cl
Summernight                              | 1-2cl Rohrzuckersirup          | 1.5        | cl         | 1,5 cl
Sunnyday                                 | 2-3cl Zitronensaft             | 2.5        | cl         | 2,5 cl
Sunset Trap                              | 6 cl Pink-Grapefruit-Saft      | 6.0        | cl         | 6 cl
Sunset Trap                              | 1 - 1 1/2 cl Grenadinesirup    | 1.0        |            | 1
Sunset Trap                              | 1 - 2 Prisen Zimtpulver        | 1.5        |            | 1 1/2
Sweet Sour Strawberry Nuts               | 1.5cl Aprikosen-Sirup          | 1.5        | cl         | 1,5 cl
Sweet Sour Strawberry Nuts               | 1cl Haselnuss-Sirup            | 1.0        | cl         | 1 cl
Swimming Orca                            | 5-6 Tropfen Rum Backaroma      | 5.5        |            | 5 1/2
Tequila Old Fashioned                    | 1-2 dash Angostura Bitter      | 1.5        | Spritzer   | 1,5 Spritzer
Tequila Sour                             | 1-2 cl Zuckersirup             | 1.5        | cl         | 1,5 cl
Texas Margarita                          | 4-5cl Tequila Reposado         | 4.5        | cl         | 4,5 cl
The Apple Of Europe                      | 3-4 Blatt Zitronenmelisse      | 3.5        |            | 3 1/2
The Ramos Gin Fizz                       | 6 Tropfen TBT-Orange Flow...   | 6.0        |            | 6
TheDevisInMe                             | 4cl Whiskey (Jim-Beam Dev...   | 4.0        | cl         | 4 cl
Thor                                     | 2-3 cl Zitronensaft            | 2.5        | cl         | 2,5 cl
Tiefseetaucher                           | 1-2 Barlöffel feiner Zucker    | 1.5        | Barlöffel  | 1,5 Barlöffel
Tiger and Dragon                         | 1-2cl Limettensaft             | 1.5        | cl         | 1,5 cl
Top Ginger Tom                           | 10-20cl Ginger Ale             | 15.0       | cl         | 15 cl
Tradicional Caipirinha                   | 6-8cl Cachaça                  | 7.0        | cl         | 7 cl
Trinidad Sour                            | 2 - 2,5 cl Zitronensaft (...   | 2.25       | cl         | 2,25 cl
Tropic Cranberry                         | 1-2 BL Rohrzucker              | 1.5        |            | 1 1/2
Tropical Rain                            | 1-2 BL brauner Rohrzucker      | 1.5        |            | 1 1/2
V.W.                                     | 3cl Williams-Birnenbrand       | 3.0        | cl         | 3 cl
Veilchen Sektcocktail                    | 1-2cl Veilchensirup            | 1.5        | cl         | 1,5 cl
Verdamillo                               | 1cl Blue-Curacao Sirup         | 1.0        | cl         | 1 cl
Verirrter Taifun                         | 0-1cl Rohrzuckersirup          | 0.5        | cl         | 0,5 cl
Violet Mojito                            | 2-3 Minzzweige                 | 2.5        |            | 2 1/2
Weihnachts-Caipi                         | 2-4cl Rohrzuckersirup          | 3.0        | cl         | 3 cl
WhiKiVac                                 | 16cl Sauerkirsch-Nektar        | 16.0       | cl         | 16 cl
Wilson´s Smash                           | 1cl Karamellisierte Anana...   | 1.0        | cl         | 1 cl
Winter Wizard                            | 1cl Vanille- oder Karamel...   | 1.0        | cl         | 1 cl
Winter Wizard                            | 2-4 Spritzer Zitronensaft      | 3.0        | Spritzer   | 3 Spritzer
Wodka-Ahoi                               | 1 Tütchen Ahoi-Brause          | 1.0        |            | 1
ZitroMint (alkoholfrei)                  | 3/4 - 1 Zitrone                | 0.75       |            | 3/4
ZitroMint (alkoholfrei)                  | 2 - 3 TL Rohrzucker            | 2.5        | TL         | 2,5 TL
Zombie, Don the Beachcomber              | 1,5cl Pink-Grapefruitsaft      | 1.5        | cl         | 1,5 cl

=== Summary ===
Successfully parsed: 145
Still unparsed: 14

Note: Unparsed items contain patterns that could not be automatically converted.
Examples: "2-3cm Gurke", "10-15g Gurke", "oder" (or), BL without space, etc.

================================================================================
=== ADDITIONAL ISSUE: Ingredient Names with Extra Information ===
================================================================================

## Problem
Some ingredient names contain extra information (like "z.B. Cointreau") that was
NOT displayed in the old system because only the `description` field was shown.

Old system: displayed description only ("2cl Triple Sec Curaçao")
New system: displays formatted_amount + ingredient.name ("2 cl Triple Sec Curaçao z.B. Cointreau")

## Case: Triple Sec Curaçao z.B. Cointreau

Ingredient Name (database): Triple Sec Curaçao z.B. Cointreau
Old Description (displayed):  2cl Triple Sec Curaçao
New Display:                  2 cl Triple Sec Curaçao z.B. Cointreau

Impact: 125 recipes will now show "z.B. Cointreau" (was not shown before)

## Recommendation
Decide whether to:
1. Rename ingredient to "Triple Sec Curaçao" (affects all 125 recipes)
2. Keep as-is and accept the new display
3. Store "z.B. Cointreau" in additional_info for specific recipes

